pl_name,sy_snum,pl_orbper,pl_rade,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_kmag,sy_umag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_kepmag,target
K2-187 c,1.0,2.871788,1.70058746,2457141.76377,0.0,0.05616,2.45424,5477.0,0.894913,0.966999,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 c,1.0,2.872042,1.8,2457141.7568,0.0,0.05616,2.45424,5484.0,0.92,0.98,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 c,1.0,2.871348,1.8,2457141.7649,0.0,0.07778,2.1888,5472.0,0.96,0.9647996,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 d,1.0,7.14921,3.17,2457146.3261,0.0,0.05616,2.9832,5484.0,0.92,0.98,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 d,1.0,7.149079,3.22104537,2457146.32854,0.0,0.05616,2.9832,5477.0,0.894913,0.966999,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 d,1.0,7.149336,3.4,2457146.32652,0.0,0.088,2.8392,5429.668,0.96,0.9573998,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 d,1.0,7.149584,2.4,2457203.52085,0.0,0.06964,2.9443200000000003,5438.0,0.83,0.9627996,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 e,1.0,13.608341,2.25541631,2457141.47225,0.0,0.05616,2.9832,5477.0,0.894913,0.966999,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 e,1.0,13.608511,2.5,2457155.08449,0.0,0.088,4.0296,5451.534,0.96,0.9573998,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 e,1.0,13.609878,2.38,2457155.08541,0.0,0.05616,3.351360000000001,5484.0,0.92,0.98,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-187 e,1.0,13.606629,1.9,2457155.08495,0.0,0.05616,3.351360000000001,5438.0,0.83,0.9601994,132.52354166666666,23.19247222222222,-11.8636,-30.7016,330.916,2.9939,13.986,11.196,15.6548,11.169,11.235,11.069,8.362001,12.8673,12.864,1
K2-188 b,1.0,1.742169,1.35,2457140.47617,0.0,0.63374,2.74512,5977.0,1.19,1.06,129.81370833333335,23.35743611111112,13.1762,-10.3664,446.821,2.20973,13.219,11.149,15.4736,11.121,11.19,11.286,8.797,12.4903,12.704,1
K2-188 b,1.0,1.742983,1.25908622,2457142.21335,0.0,0.63374,2.74512,5982.0,1.109202,1.106611,129.81370833333335,23.35743611111112,13.1762,-10.3664,446.821,2.20973,13.219,11.149,15.4736,11.121,11.19,11.286,8.797,12.4903,12.704,1
K2-188 c,1.0,7.807595,2.62511304,2457144.86605,0.0,0.63374,2.74512,5982.0,1.109202,1.106611,129.81370833333335,23.35743611111112,13.1762,-10.3664,446.821,2.20973,13.219,11.149,15.4736,11.121,11.19,11.286,8.797,12.4903,12.704,1
K2-188 c,1.0,7.810253,2.83,2457144.85447,0.0,0.63374,2.74512,5977.0,1.19,1.06,129.81370833333335,23.35743611111112,13.1762,-10.3664,446.821,2.20973,13.219,11.149,15.4736,11.121,11.19,11.286,8.797,12.4903,12.704,1
K2-188 c,1.0,7.809757,2.9,2457144.85632,0.0,0.0582,3.5808,5950.96,1.19,1.0826444,129.81370833333335,23.35743611111112,13.1762,-10.3664,446.821,2.20973,13.219,11.149,15.4736,11.121,11.19,11.286,8.797,12.4903,12.704,1
K2-19 b,1.0,7.9194,7.74,2456813.3837,1.0,0.22866,3.4178800000000003,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.91952,8.2,2456813.38319,1.0,0.22866,3.237,5748.0,1.01,0.99,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.91951,4.792,2456814.387012,1.0,0.4849,3.71472,5250.0,0.881,0.918,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.9222,7.0,2456860.9023,1.0,0.60728,3.48332,5322.0,0.82,0.88,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.91943,7.11,2456813.3836,1.0,0.22866,3.07968,5519.0,0.81,0.84,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.919454,7.23,2456813.38345,1.0,0.22866,3.07968,5230.0,0.88,0.89,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.921101,7.46,2456813.3767,1.0,0.36356,3.2632800000000004,5390.0,0.913,0.949,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.9194,7.74,2456813.3837,1.0,0.22866,3.502,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.920994,7.34,2456813.37624,1.0,0.36356,3.2688,5345.0,0.914,0.902,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.919493,6.751484,2456813.38334,1.0,0.36356,3.2632800000000004,5391.0,0.833805,0.895163,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.920978,9.9564,2456932.195,1.0,0.7336199999999999,4.32932,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 b,1.0,7.9222,7.0,2456860.9023,1.0,0.60728,3.48332,5322.0,0.82,0.88,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.90691,4.31,2456817.2764,1.0,0.22866,3.07968,5519.0,0.81,0.84,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.9066,11.442,2456819.372082,1.0,0.4849,3.71472,5250.0,0.881,0.918,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.907625,4.05161714,2456817.27514,1.0,0.36356,3.2632800000000004,5391.0,0.833805,0.895163,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,12.0028,4.37,2456822.86219,1.0,0.483167968,3.6864,5345.0,0.914,0.902,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
