pl_name,sy_snum,pl_orbper,pl_rade,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_kmag,sy_umag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_kepmag,target
K2-115 b,1.0,20.272992,8.488822551999998,2458495.17449,0.0,1.04486862,3.03095626,5680.8,1.1234992,0.939,126.5535,12.28185,15.5645,-21.666,413.591,2.38911,14.008,11.724,15.4248,11.658,11.7,11.723,8.567,13.2,13.192,1
K2-115 b,1.0,20.2729861,2.607448068,2457522.07056,0.0,0.1,5.71344,5560.0,0.881,0.831,126.5535,12.28185,15.5645,-21.666,413.591,2.38911,14.008,11.724,15.4248,11.658,11.7,11.723,8.567,13.2,13.192,1
K2-115 b,1.0,20.273034,12.498035,2457157.15701,0.0,0.39326,4.0296,5560.0,0.881,0.831,126.5535,12.28185,15.5645,-21.666,413.591,2.38911,14.008,11.724,15.4248,11.658,11.7,11.723,8.567,13.2,13.192,1
K2-115 b,1.0,20.273017,3.72193154,2459245.2759,0.0,0.250842942,3.05629838,5657.0,0.88,0.95,126.5535,12.28185,15.5645,-21.666,413.591,2.38911,14.008,11.724,15.4248,11.658,11.7,11.723,8.567,13.2,13.192,1
K2-117 b,1.0,1.2916,2.03,2457142.77452,0.0,0.12342,1.694016,3778.0,0.51,0.54,133.85574999999997,10.469216666666666,11.5489,18.0583,101.632,9.81066,16.129,10.589,18.0974,10.489,10.44,10.334,8.9,13.8012,13.905,1
K2-117 b,1.0,1.291651,2.1,2457142.77376,0.0,0.1346,1.1904,3734.824,0.52,0.535776,133.85574999999997,10.469216666666666,11.5489,18.0583,101.632,9.81066,16.129,10.589,18.0974,10.489,10.44,10.334,8.9,13.8012,13.905,1
K2-117 b,1.0,1.291563,2.03,2457138.90021,0.0,0.1346,1.556832,3676.0,0.513,0.532,133.85574999999997,10.469216666666666,11.5489,18.0583,101.632,9.81066,16.129,10.589,18.0974,10.489,10.44,10.334,8.9,13.8012,13.905,1
K2-117 b,1.0,1.291505,1.96,2457142.776,0.0,0.12342,1.694016,3842.12,0.491598,0.582006,133.85574999999997,10.469216666666666,11.5489,18.0583,101.632,9.81066,16.129,10.589,18.0974,10.489,10.44,10.334,8.9,13.8012,13.905,1
K2-117 c,1.0,5.443984,2.1,2457143.56578,0.0,0.1346,2.1792,3785.848,0.52,0.5512897999999999,133.85574999999997,10.469216666666666,11.5489,18.0583,101.632,9.81066,16.129,10.589,18.0974,10.489,10.44,10.334,8.9,13.8012,13.905,1
K2-117 c,1.0,5.44425,1.94,2457138.1222,0.0,0.1346,1.556832,3676.0,0.513,0.532,133.85574999999997,10.469216666666666,11.5489,18.0583,101.632,9.81066,16.129,10.589,18.0974,10.489,10.44,10.334,8.9,13.8012,13.905,1
